27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
8,8,8,27,8,8,8,8,8,27,8,8,8,8,8,27
2,2,2,27,2,2,2,2,2,27,2,2,2,2,2,27
2,27,2,27,2,27,2,27,2,27,2,27,2,27,2,27
2,2,2,27,2,2,2,2,2,27,2,2,2,2,2,27
2,27,2,27,2,27,2,27,2,27,2,27,2,27,2,27
2,2,2,27,2,2,2,2,2,27,2,2,2,2,2,27
35,2,2,27,2,2,35,2,2,27,2,2,35,2,2,27
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
